unit,sex,age,isced11,geo,time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
PC,T,Y25-64,ED0-2,AT	8.5 	9.0 b	9.4 b	8.7 b	8.0 b	6.8 	9.3 	8.1 	7.7 	8.7 	9.5 	10.8 b
PC,T,Y25-64,ED0-2,BE	10.0 	10.8 	12.4 b	12.3 	11.3 	10.8 b	11.9 	13.2 	12.1 b	12.1 	13.5 	14.3 b
PC,T,Y25-64,ED0-2,BG	23.8 b	19.8 	17.7 b	18.5 b	16.8 	13.6 b	14.3 	21.7 	25.4 b	27.0 	28.5 	27.5 b
PC,T,Y25-64,ED0-2,CH	5.8 	6.9 	7.2 b	7.4 	6.6 	6.0 	7.5 	7.4 	7.6 	7.8 	8.1 	8.8 b
PC,T,Y25-64,ED0-2,CY	4.5 	5.8 	5.5 b	4.8 	4.4 	4.8 	6.2 b	7.1 	7.4 	12.6 	18.0 	19.4 b
PC,T,Y25-64,ED0-2,CZ	19.2 b	22.8 	24.4 b	22.4 	19.1 	17.3 	21.8 	22.7 	21.5 b	25.5 	23.4 	20.7 b
PC,T,Y25-64,ED0-2,DE	17.7 	20.0 	20.1 b	19.8 	18.0 	16.5 	16.7 	15.9 	13.8 b	12.7 	12.3 	12.0 b
PC,T,Y25-64,ED0-2,DK	6.7 b	7.6 	6.5 b	5.5 	4.3 b	3.6 	7.3 	9.0 	8.9 	9.6 	9.2 	8.4 b
PC,T,Y25-64,ED0-2,EA17	10.3 	10.6 	10.6 b	10.1 	9.4 	10.3 	13.5 	14.8 	15.4 	17.9 	19.3 	19.0 b
PC,T,Y25-64,ED0-2,EA18	10.3 	10.7 	10.6 b	10.1 	9.4 	10.3 	13.5 	14.9 	15.4 	18.0 	19.3 	19.0 b
PC,T,Y25-64,ED0-2,EA19	10.4 	10.7 	10.6 b	10.1 	9.4 	10.3 	13.5 	14.9 	15.5 	18.0 	19.3 	19.1 b
PC,T,Y25-64,ED0-2,EE	14.5 u	12.9 u	12.9 b	11.8 	8.3 	9.8 	23.7 	27.3 	25.7 	21.7 	13.7 	11.9 b
PC,T,Y25-64,ED0-2,EL	7.0 	8.4 b	8.3 b	7.3 	7.1 	6.9 	8.9 b	11.9 	17.0 	25.1 	28.7 	27.6 b
PC,T,Y25-64,ED0-2,ES	11.3 	11.3 	9.3 b	9.0 	9.0 	13.2 	21.8 	24.5 	26.2 	31.1 	32.7 	31.4 b
PC,T,Y25-64,ED0-2,EU27	10.2 	10.6 	10.4 b	10.0 	9.2 	9.8 	12.9 	14.2 	14.8 	16.8 	17.9 	17.2 b
PC,T,Y25-64,ED0-2,EU28	10.3 	10.6 	10.4 b	10.0 	9.3 	9.8 	12.8 	14.2 	14.8 	16.8 	17.9 	17.3 b
PC,T,Y25-64,ED0-2,FI	11.1 	12.0 	10.7 b	10.1 	8.9 	8.1 b	9.8 	11.6 	11.3 	11.6 	12.2 	12.5 b
PC,T,Y25-64,ED0-2,FR	10.6 b	11.0 	11.1 b	11.0 	10.2 	9.7 	11.6 	12.8 	12.8 	13.7 	13.9 b	13.9 b
PC,T,Y25-64,ED0-2,HR	13.7 b	13.9 	12.1 b	12.8 b	12.3 	9.5 	9.1 	12.0 b	16.7 	17.7 	19.8 	24.3 b
PC,T,Y25-64,ED0-2,HU	10.8 	11.0 	12.4 b	15.1 	16.3 	17.7 	20.9 	23.6 	23.5 	22.9 	21.6 	16.7 b
PC,T,Y25-64,ED0-2,IE	6.2 	6.4 	6.0 b	5.7 	6.2 b	8.4 	15.2 b	19.4 	21.7 	23.3 	20.3 	18.7 b
PC,T,Y25-64,ED0-2,IS	2.9 b	2.7 	2.3 b	2.5 	1.7 	2.5 	7.4 	7.2 	7.3 	7.3 	5.7 	4.7 b
PC,T,Y25-64,ED0-2,IT	8.9 	7.8 b	7.7 b	6.9 	6.3 	7.4 	8.4 	9.0 	9.3 	12.2 	14.4 	15.2 b
PC,T,Y25-64,ED0-2,LT	18.7 	13.4 u	14.4 bu	10.8 u	6.9 u	9.6 u	26.2 	37.8 	38.1 	36.1 	32.9 	28.6 b
PC,T,Y25-64,ED0-2,LU	3.3 b	5.7 	5.1 b	4.9 	4.1 b	4.8 	5.8 b	4.1 	6.1 	6.4 	8.6 	7.7 b
PC,T,Y25-64,ED0-2,LV	18.2 	15.9 	14.2 b	12.7 	9.4 	13.0 	26.5 	29.1 	27.5 	22.9 	22.6 	23.6 b
PC,T,Y25-64,ED0-2,MK	: 	: 	: 	39.3 	41.2 	40.0 	37.5 	37.9 	36.0 	36.4 	33.2 	31.0 b
PC,T,Y25-64,ED0-2,MT	5.5 	5.5 b	6.4 b	6.8 	6.8 	6.8 	7.1 	8.2 	7.6 b	7.9 	8.4 	7.8 b
PC,T,Y25-64,ED0-2,NL	4.6 	5.7 	5.8 b	4.8 	4.0 	3.4 	4.1 	5.7 b	5.4 	6.6 	8.6 b	9.8 b
PC,T,Y25-64,ED0-2,NO	4.5 b	4.1 	6.4 b	4.8 b	3.3 	3.7 	4.3 	5.4 	5.2 	4.1 	5.4 	6.3 b
PC,T,Y25-64,ED0-2,PL	26.2 b	28.4 b	26.8 b	21.5 	15.5 	11.5 	13.9 	16.1 b	16.8 	17.8 	19.3 	18.0 b
PC,T,Y25-64,ED0-2,PT	5.7 	6.2 b	7.5 b	7.6 	8.0 	7.6 	10.1 	11.7 	13.3 b	15.9 	17.0 	14.8 b
PC,T,Y25-64,ED0-2,RO	5.3 b	7.2 	6.3 b	6.9 	6.6 	6.5 	7.0 	5.5 b	6.9 	6.5 	6.6 	6.4 b
PC,T,Y25-64,ED0-2,SE	5.5 	6.0 	8.5 b	7.4 b	6.9 	7.0 	10.5 	11.6 	11.4 	12.3 	13.4 	13.9 b
PC,T,Y25-64,ED0-2,SI	9.9 	9.0 	8.7 b	7.0 	6.5 	5.9 	7.8 	11.2 	12.7 	14.0 	17.8 	15.4 b
PC,T,Y25-64,ED0-2,SK	44.3 b	48.3 	49.2 b	44.0 	41.5 	35.9 	38.3 	40.8 	39.4 b	41.5 	40.0 	39.3 b
PC,T,Y25-64,ED0-2,TR	: 	: 	: 	7.2 	7.2 	8.3 	11.1 	9.2 	7.4 	6.7 	7.3 	8.4 b
PC,T,Y25-64,ED0-2,UK	5.1 	5.2 b	5.0 b	6.0 b	6.0 b	6.6 b	9.4 b	10.3 b	10.5 b	10.3 	10.6 	8.4 b
PC,T,Y25-64,ED3_4,AT	3.9 	4.4 b	4.3 b	4.1 b	3.7 b	3.2 	4.1 	3.9 	3.6 	4.0 	4.3 	4.5 b
PC,T,Y25-64,ED3_4,BE	6.4 	5.9 	6.9 b	6.7 	6.2 	5.7 b	6.5 	6.6 	5.7 b	6.7 	6.8 	7.3 b
PC,T,Y25-64,ED3_4,BG	11.2 b	10.2 	8.2 b	6.8 b	5.0 	3.9 b	5.2 	8.3 	9.2 b	10.2 	11.2 	9.8 b
PC,T,Y25-64,ED3_4,CH	3.1 	3.6 	3.6 b	3.3 	3.0 	2.8 	3.2 	4.1 	3.3 	3.3 	3.6 	3.8 b
PC,T,Y25-64,ED3_4,CY	3.7 	3.5 	4.3 b	3.9 	3.2 	3.0 	4.6 b	5.0 	6.9 	11.2 	14.8 	15.6 b
PC,T,Y25-64,ED3_4,CZ	6.1 b	6.4 	6.2 b	5.5 	4.3 	3.3 	5.4 	6.2 	5.7 b	5.7 	6.1 	5.4 b
PC,T,Y25-64,ED3_4,DE	10.0 	11.0 	11.0 b	9.9 	8.3 	7.2 	7.5 	6.9 	5.7 b	5.3 	5.1 	4.6 b
PC,T,Y25-64,ED3_4,DK	4.1 b	4.8 	4.0 b	2.7 	2.6 b	2.3 	4.8 	6.1 	6.0 	6.2 	5.6 	5.3 b
PC,T,Y25-64,ED3_4,EA17	7.9 	8.3 	8.0 b	7.3 	6.4 	6.1 	7.5 	7.8 	7.7 	8.6 	9.1 	8.8 b
PC,T,Y25-64,ED3_4,EA18	7.9 	8.3 	8.0 b	7.3 	6.4 	6.1 	7.6 	7.9 	7.8 	8.6 	9.1 	8.8 b
PC,T,Y25-64,ED3_4,EA19	8.0 	8.4 	8.1 b	7.3 	6.4 	6.1 	7.7 	8.1 	7.9 	8.7 	9.2 	8.9 b
PC,T,Y25-64,ED3_4,EE	11.0 	9.5 	8.8 b	5.8 	4.5 	5.2 	14.7 	17.8 	11.8 	9.6 	8.9 	7.8 b
PC,T,Y25-64,ED3_4,EL	9.4 	9.8 b	9.6 b	8.9 	8.3 	7.3 	9.3 b	12.8 	17.8 	24.5 	28.1 	27.7 b
PC,T,Y25-64,ED3_4,ES	9.8 	9.2 	7.3 b	6.7 	6.9 	9.2 	15.0 	17.2 	19.0 	21.5 	23.2 	21.6 b
PC,T,Y25-64,ED3_4,EU27	8.3 	8.4 	8.1 b	7.2 	6.1 	5.6 	7.2 	7.8 	7.6 	8.2 	8.5 	8.0 b
PC,T,Y25-64,ED3_4,EU28	8.3 	8.4 	8.1 b	7.2 	6.1 	5.6 	7.2 	7.8 	7.7 	8.2 	8.6 	8.1 b
PC,T,Y25-64,ED3_4,FI	8.9 	8.2 	7.4 b	7.0 	6.1 	5.4 b	7.7 	7.5 	6.9 	7.1 	7.5 	8.1 b
PC,T,Y25-64,ED3_4,FR	6.9 b	7.2 	6.6 b	6.6 	5.9 	5.5 	7.0 	7.1 	7.4 	8.3 	8.5 b	8.7 b
PC,T,Y25-64,ED3_4,HR	12.1 b	12.3 	11.5 b	9.8 b	8.1 	7.2 	8.0 	9.7 b	11.6 	14.6 	15.3 	15.2 b
PC,T,Y25-64,ED3_4,HU	4.8 	4.7 	5.9 b	6.1 	5.9 	6.3 	8.3 	9.5 	9.7 	9.5 	8.8 	6.5 b
PC,T,Y25-64,ED3_4,IE	2.9 	3.2 	3.1 b	3.3 	3.6 b	5.1 	11.3 b	13.8 	15.1 	15.2 	14.0 	11.9 b
PC,T,Y25-64,ED3_4,IS	: bu	3.3 	: bu	1.8 	1.2 	1.4 	5.8 	7.2 	5.4 	4.1 	4.1 	4.0 b
PC,T,Y25-64,ED3_4,IT	5.8 	5.4 b	5.2 b	4.6 	4.1 	4.6 	5.6 	6.0 	5.9 	7.7 	8.9 	9.1 b
PC,T,Y25-64,ED3_4,LT	12.5 	11.3 	8.9 b	6.3 	4.7 	6.2 	15.1 	20.6 	17.8 	15.7 	13.9 	13.2 b
PC,T,Y25-64,ED3_4,LU	2.6 b	3.7 	3.2 b	3.8 	2.8 b	4.9 	3.4 b	3.6 	3.7 	4.2 	5.5 	5.1 b
PC,T,Y25-64,ED3_4,LV	11.0 	11.6 	10.2 b	5.9 	5.5 	7.5 	17.9 	19.6 	16.9 	16.7 	12.5 	11.2 b
PC,T,Y25-64,ED3_4,MK	: 	: 	: 	33.3 	31.2 	29.1 	28.6 	28.9 	28.7 	28.7 	25.8 	25.1 b
PC,T,Y25-64,ED3_4,MT	: u	: bu	: bu	1.8 u	2.3 u	2.0 u	4.3 	3.6 	3.5 b	2.2 	2.8 	2.3 b
PC,T,Y25-64,ED3_4,NL	2.6 	3.9 	4.1 b	3.5 	2.7 	2.1 	2.7 	3.4 b	3.8 	4.6 	6.4 b	6.7 b
PC,T,Y25-64,ED3_4,NO	2.9 b	2.8 	3.5 b	2.4 b	1.3 	1.4 	1.9 	2.4 	2.2 	2.3 	2.3 	2.6 b
PC,T,Y25-64,ED3_4,PL	17.1 b	17.0 b	16.4 b	12.7 	8.7 	6.3 	7.2 	8.9 b	8.7 	9.3 	9.7 	8.6 b
PC,T,Y25-64,ED3_4,PT	5.2 	5.5 b	6.6 b	7.1 	6.8 	6.5 	8.1 	9.7 	11.0 b	14.4 	14.4 	12.6 b
PC,T,Y25-64,ED3_4,RO	6.5 b	6.4 	6.4 b	6.4 	5.5 	4.8 	5.8 	6.5 b	6.3 	5.9 	6.3 	5.8 b
PC,T,Y25-64,ED3_4,SE	4.7 	5.8 	6.0 b	4.8 b	4.0 	3.9 	5.7 	5.9 	4.9 	5.1 	5.2 	5.1 b
PC,T,Y25-64,ED3_4,SI	5.1 	5.0 	5.7 b	5.6 	4.3 	3.5 	5.6 	6.9 	8.2 	8.1 	9.8 	9.7 b
PC,T,Y25-64,ED3_4,SK	13.2 b	15.0 	12.8 b	10.5 	8.6 	7.4 	10.0 	12.3 	11.6 b	11.7 	12.3 	11.3 b
PC,T,Y25-64,ED3_4,TR	: 	: 	: 	7.8 	7.9 	8.0 	11.3 	10.1 	8.0 	7.6 	7.9 	9.1 b
PC,T,Y25-64,ED3_4,UK	3.2 	3.5 b	3.2 b	3.8 b	3.6 b	4.1 b	5.9 b	6.2 b	6.1 b	6.0 	5.8 	4.9 b
PC,T,Y25-64,ED5-8,AT	2.4 	3.3 b	2.9 b	2.8 b	2.6 b	1.9 	2.5 	2.4 	2.5 	2.3 	3.4 	3.7 b
PC,T,Y25-64,ED5-8,BE	3.7 	3.2 	3.7 b	3.7 	3.3 	3.2 b	3.8 	4.0 	3.4 b	3.4 	4.3 	4.2 b
PC,T,Y25-64,ED5-8,BG	6.5 b	5.3 	4.1 b	3.8 b	2.2 	2.1 b	2.9 	4.3 	4.8 b	5.6 	6.1 	5.0 b
PC,T,Y25-64,ED5-8,CH	2.9 	2.8 	2.7 b	2.2 	2.1 	1.8 	2.7 	2.9 	2.6 	2.7 	3.0 	3.2 b
PC,T,Y25-64,ED5-8,CY	3.0 	2.7 	3.6 b	3.5 	2.8 	2.4 	3.5 b	4.6 	5.8 	8.7 	10.9 	10.8 b
PC,T,Y25-64,ED5-8,CZ	1.9 b	1.9 	2.0 b	2.2 	1.5 	1.5 	2.2 	2.5 	2.6 b	2.6 	2.5 	2.6 b
PC,T,Y25-64,ED5-8,DE	5.0 	5.4 	5.5 b	4.8 	3.8 	3.3 	3.4 	3.1 	2.4 b	2.3 	2.4 	2.5 b
PC,T,Y25-64,ED5-8,DK	4.8 b	3.9 	3.7 b	3.2 	3.0 b	2.2 	3.7 	4.6 	5.0 	4.7 	4.6 	4.5 b
PC,T,Y25-64,ED5-8,EA17	5.2 	5.4 	5.2 b	4.7 	4.1 	4.0 	5.0 	5.5 	5.6 	6.4 	6.9 	6.8 b
PC,T,Y25-64,ED5-8,EA18	5.2 	5.4 	5.2 b	4.7 	4.1 	4.0 	5.0 	5.5 	5.6 	6.4 	6.9 	6.8 b
PC,T,Y25-64,ED5-8,EA19	5.2 	5.4 	5.2 b	4.6 	4.1 	3.9 	5.0 	5.5 	5.6 	6.4 	6.9 	6.8 b
PC,T,Y25-64,ED5-8,EE	5.5 	5.7 	4.0 b	3.1 	2.4 	2.8 	6.2 	9.2 	7.9 	5.9 	5.4 	4.7 b
PC,T,Y25-64,ED5-8,EL	6.1 	6.9 b	7.0 b	6.4 	6.1 	5.7 	6.7 b	8.8 	13.0 	17.1 	19.4 	19.1 b
PC,T,Y25-64,ED5-8,ES	7.3 	7.3 	6.0 b	5.4 	4.8 	5.8 	8.9 	10.4 	11.5 	13.9 	14.9 	13.8 b
PC,T,Y25-64,ED5-8,EU27	4.6 	4.7 	4.6 b	4.1 	3.6 	3.5 	4.5 	4.9 	5.0 	5.6 	5.8 	5.6 b
PC,T,Y25-64,ED5-8,EU28	4.6 	4.7 	4.6 b	4.1 	3.6 	3.5 	4.5 	4.9 	5.1 	5.6 	5.9 	5.6 b
PC,T,Y25-64,ED5-8,FI	4.1 	4.7 	4.4 b	3.7 	3.6 	3.3 b	4.0 	4.4 	4.0 	3.9 	4.5 	5.1 b
PC,T,Y25-64,ED5-8,FR	5.3 b	6.1 	5.4 b	5.1 	4.9 	4.0 	5.0 	4.9 	4.9 	5.1 	5.3 b	5.7 b
PC,T,Y25-64,ED5-8,HR	6.6 bu	7.0 	5.6 bu	5.1 bu	5.6 	4.3 	5.6 	7.9 b	8.3 	9.9 	10.1 	9.0 b
PC,T,Y25-64,ED5-8,HU	1.2 	1.9 	2.3 b	2.2 	2.4 	2.2 	3.4 	4.0 	3.8 	4.0 	3.5 	2.7 b
PC,T,Y25-64,ED5-8,IE	2.5 	2.1 	2.0 b	2.4 	2.4 b	3.2 	6.3 b	7.0 	7.2 	7.0 	6.7 	6.1 b
PC,T,Y25-64,ED5-8,IS	: bu	: u	1.3 b	: u	: u	1.6 	3.9 	3.5 	4.5 	2.9 	3.7 	3.7 b
PC,T,Y25-64,ED5-8,IT	5.5 	4.7 b	5.7 b	4.8 	4.2 	4.2 	5.1 	5.5 	5.1 	6.3 	6.9 	7.6 b
PC,T,Y25-64,ED5-8,LT	5.8 u	5.6 u	3.6 bu	2.3 u	1.8 u	2.4 u	5.6 	6.8 	5.6 	4.8 	4.4 	3.7 b
PC,T,Y25-64,ED5-8,LU	4.0 b	3.2 	3.2 b	2.9 	3.0 b	2.2 	3.7 b	3.6 	3.5 	3.4 	3.7 	3.6 b
PC,T,Y25-64,ED5-8,LV	6.5 u	4.3 u	4.9 b	3.8 	3.6 	4.1 	7.4 	10.2 	6.9 	6.2 	5.5 	5.1 b
PC,T,Y25-64,ED5-8,MK	: 	: 	: 	19.1 	18.7 	18.7 	17.9 	19.3 	19.5 	18.8 	20.1 	19.6 b
PC,T,Y25-64,ED5-8,MT	: u	: bu	2.2 bu	: u	: u	: u	1.6 u	: u	: bu	1.7 u	1.9 u	2.4 b
PC,T,Y25-64,ED5-8,NL	2.3 	2.8 	2.8 b	2.3 	1.8 	1.6 	2.0 	2.7 b	2.8 	3.0 	3.7 b	3.6 b
PC,T,Y25-64,ED5-8,NO	2.8 b	2.8 	2.4 b	1.8 b	1.5 	1.3 	1.5 	1.8 	1.6 	1.6 	1.8 	2.1 b
PC,T,Y25-64,ED5-8,PL	5.9 b	6.1 b	5.8 b	5.0 	3.8 	3.1 	3.6 	4.2 b	4.4 	4.9 	5.0 	4.1 b
PC,T,Y25-64,ED5-8,PT	4.8 	3.9 b	5.3 b	5.3 	6.5 	5.7 	5.6 	6.1 	7.8 b	10.2 	11.4 	8.9 b
PC,T,Y25-64,ED5-8,RO	2.8 b	2.6 	3.1 b	2.9 	2.2 	1.9 	3.2 	3.7 b	3.6 	4.1 	4.3 	4.7 b
PC,T,Y25-64,ED5-8,SE	3.4 	3.8 	4.5 b	4.2 b	3.4 	3.3 	4.3 	4.5 	4.1 	4.0 	4.0 	4.0 b
PC,T,Y25-64,ED5-8,SI	3.7 u	2.6 u	3.0 b	3.0 	3.2 	3.1 	3.1 	4.1 	4.7 	5.8 	5.8 	6.1 b
PC,T,Y25-64,ED5-8,SK	3.2 b	4.9 	4.4 b	2.7 	3.4 	3.0 	3.4 	4.9 	5.3 b	6.0 	6.5 	5.8 b
PC,T,Y25-64,ED5-8,TR	: 	: 	: 	5.9 	5.9 	6.5 	8.1 	7.0 	6.8 	6.7 	6.9 	8.1 b
PC,T,Y25-64,ED5-8,UK	2.3 	2.2 b	2.1 b	2.2 b	2.1 b	2.3 b	3.2 b	3.4 b	3.7 b	3.7 	3.2 	2.7 b
